상호명,dist,도로명주소,url,운영시간
매머드익스프레스종로,0.0871,서울특별시 종로구 종로 127,https://place.map.kakao.com/343930974,"['월~금', '07:00 ~ 18:00', '토,일', '08:00 ~ 16:00']"
피카디리cafe,0.1154,서울특별시 종로구 돈화문로5가길 1,https://place.map.kakao.com/19813435,"['매일', '08:00 ~ 23:00']"
Teastory,0.1575,서울특별시 종로구 돈화문로10길 2,https://place.map.kakao.com/16874875,"['매일', '07:30 ~ 21:00']"
이디야창덕궁점,0.1699,서울특별시 종로구 돈화문로 41-1,https://place.map.kakao.com/96671839,"['매일', '08:00 ~ 23:30']"
황씨네커피집,0.2171,서울특별시 종로구 돈화문로 48,https://place.map.kakao.com/1798554341,"['매일', '08:00 ~ 20:00']"
파스쿠찌종로2가점,0.3143,서울특별시 종로구 수표로 95,https://place.map.kakao.com/20481068,"['월~목', '07:00 ~ 23:00', '금~일', '07:00 ~ 02:00']"
매머드익스프레스종로YBM점,0.3236,서울특별시 종로구 종로 104,https://place.map.kakao.com/1966930918,"['매일', '07:00 ~ 20:30', '매일 라스트오더', '~ 20:00']"
웰시커피,0.3716,서울특별시 종로구 돈화문로11길 44,https://place.map.kakao.com/1200813909,"['매일', '08:00 ~ 23:00']"
더벤티종로학원가점,0.3734,서울특별시 종로구 종로16길 11,https://place.map.kakao.com/701370131,"['월~금', '08:00 ~ 20:00', '토,일', '08:00 ~ 19:00', '휴무일', '일요일']"
커피빈종로와이비엠별관점,0.3849,서울특별시 종로구 종로 98,https://place.map.kakao.com/235197477,"['월~금', '07:00 ~ 23:00', '토,일', '08:00 ~ 22:00', '공휴일', '08:00 ~ 22:00']"
매머드익스프레스익선동점,0.4528,서울특별시 종로구 삼일대로30길 28,https://place.map.kakao.com/1775427821,"['월~토', '08:00 ~ 20:00', '일', '10:00 ~ 18:00']"
매머드익스프레스종로창경궁로점,0.4675,서울특별시 종로구 창경궁로 113,https://place.map.kakao.com/343930974,"['월~금', '07:00 ~ 18:00', '토,일', '08:00 ~ 16:00']"
제로커피광장,0.4981,서울특별시 종로구 창경궁로 86,https://place.map.kakao.com/346137470,"['매일', '07:30 ~ 19:00']"
